18660	18756	96
29467	29616	149
25809	26045	236
5258	5502	244
13353	13566	213
11648	11707	59
1551	1995	444
9917	10214	297
26279	26435	156
19316	19320	4
26183	26186	3
30083	30176	93
16450	16827	377
25386	25810	424
1861	2011	150
35251	35801	550
34681	35273	592
4991	5848	857
18628	19174	546
15430	16428	998
11120	12096	976
4027	4928	901
14927	15518	591
23975	24565	590
32648	33251	603
27819	28751	932
34228	35079	851
3997	4980	983
13518	14286	768
12697	13373	676
19720	20625	905
9664	10200	536
26459	27009	550
22116	22956	840
13411	14057	646
8699	9578	879
28621	29230	609
33091	33955	864
14192	14778	586
15791	16665	874
16197	16852	655
23862	24779	917
4120	4778	658
34307	35042	735
19873	20829	956
31596	32590	994
11719	12700	981
33717	34577	860
6967	7646	679
17556	18505	949
14988	15906	918
30726	31529	803
15250	16033	783
32008	32984	976
13326	13953	627
10021	11016	995
29988	30739	751
21923	22723	800
3770	4460	690
12258	13199	941
29087	29834	747
4186	5111	925
28372	29183	811
31348	32289	941
31197	31893	696
12209	12917	708
28317	29120	803
12111	12746	635
18013	18761	748
15625	16425	800
29582	30206	624
17094	17815	721
23354	24021	667
6299	7212	913
5647	6589	942
4439	5103	664
25530	27243	1713
29309	31108	1799
20309	22174	1865
17644	18988	1344
21521	23178	1657
35373	36590	1217
11596	14588	2992
17798	20208	2410
31423	33678	2255
29375	32106	2731
21174	23553	2379
6085	8664	2579
5852	8305	2453
1927	4266	2339
8876	12648	3772
5497	8967	3470
8839	12611	3772
120711	125589	4878
108631	113499	4868
116722	121382	4660
104639	109032	4393
117600	121907	4307
121129	125139	4010
106673	112645	5972
104359	110168	5809
118509	124043	5534
99707	105256	5549
105706	111448	5742
117566	123028	5462
122932	128284	5352
126502	132049	5547
129943	135760	5817
13113	37688	24575
12620	45019	32399
22194	53159	30965
30523	57927	27404
6566	26256	19690
31094	55641	24547
30396	54076	23680
9689	22337	12648
30958	56115	25157
31020	56177	25157
