33100	33150	50
29257	29322	65
7101	7123	22
22822	22853	31
14034	14096	62
13538	13630	92
8173	8270	97
28826	28840	14
26409	26460	51
8317	8379	62
26303	26326	23
26657	26677	20
3238	3265	27
11977	12062	85
18798	18865	67
8796	8873	77
18280	18306	26
19593	19600	7
20440	20458	18
16435	16488	53
391	398	7
8729	8826	97
15298	15335	37
4147	4203	56
25507	25571	64
11436	11505	69
26095	26145	50
20379	20453	74
6681	6777	96
9590	9626	36
27392	27478	86
15018	15073	55
26797	26806	9
15337	15352	15
10040	10077	37
28006	28024	18
3894	3934	40
7366	7416	50
843	912	69
4991	5004	13
32430	32477	47
19257	19351	94
4334	4397	63
27092	27094	2
23704	23717	13
18765	18780	15
30595	30691	96
3548	3644	96
22684	22779	95
4161	4196	35
12279	12341	62
7877	7892	15
20685	20705	20
22901	22926	25
4555	4579	24
11773	11859	86
17786	17877	91
13894	13912	18
12255	12266	11
32535	32633	98
7758	7831	73
30985	31059	74
1007	1050	43
6465	6529	64
16098	16171	73
28046	28121	75
27645	27654	9
9958	10001	43
27290	27377	87
24830	24885	55
30342	30405	63
9900	9994	94
31209	31283	74
31601	31675	74
32405	32480	75
27560	27628	68
24131	24194	63
26500	26531	31
6490	6496	6
28189	28214	25
30445	30453	8
19222	19226	4
20839	20867	28
27631	27643	12
13627	13699	72
4155	4191	36
13310	13395	85
22781	22840	59
4468	4524	56
31898	31960	62
11572	11649	77
8116	8137	21
20146	20198	52
7038	7095	57
13519	13618	99
12760	12816	56
4150	4204	54
29987	30032	45
18998	19005	7
26664	26702	38
15681	15766	85
6057	6080	23
16782	16801	19
13366	13378	12
13676	13756	80
28512	28548	36
24522	24589	67
8118	8201	83
22070	22164	94
28618	28705	87
18266	18338	72
7537	7584	47
20061	20109	48
2881	2966	85
13444	13506	62
10741	10790	49
17128	17151	23
31825	31851	26
2622	2654	32
15254	15349	95
17293	17373	80
24027	24038	11
11860	11894	34
942	1027	85
3944	3972	28
4899	4912	13
13798	13805	7
32368	32461	93
10472	10484	12
33091	33160	69
25170	25220	50
21350	21433	83
15119	15182	63
5889	5907	18
27912	27936	24
1669	1731	62
19821	19887	66
9568	9629	61
9425	9520	95
30779	30848	69
18626	18699	73
2124	2209	85
22958	22979	21
13844	13846	2
19279	19330	51
7943	7946	3
6541	6599	58
6895	6980	85
20009	20082	73
5221	5252	31
15617	15647	30
16418	16490	72
6246	6285	39
30730	30753	23
17237	17249	12
